,Entry Time,Exit Time,Symbol,Direction,Entry,Exit
0,2017-07-02 01:30:00,2017-07-03 01:50:00,LTCUSD,LONG,37.7,40.63
1,2017-07-03 21:35:00,2017-07-04 17:40:00,LTCUSD,LONG,46.89,50.92
2,2017-07-04 19:35:00,2017-07-05 06:50:00,LTCUSD,LONG,51.37,51.55
3,2017-07-07 23:20:00,2017-07-08 05:55:00,LTCUSD,LONG,46.44,45.93
4,2017-07-08 06:35:00,2017-07-09 17:10:00,LTCUSD,LONG,45.52,49.86
5,2017-07-10 07:40:00,2017-07-11 00:05:00,LTCUSD,LONG,49.57,45.78
6,2017-07-11 08:50:00,2017-07-11 10:15:00,LTCUSD,LONG,42.67,44.39
7,2017-07-12 04:50:00,2017-07-12 21:50:00,LTCUSD,LONG,44.29,46.54
8,2017-07-13 07:20:00,2017-07-14 01:30:00,LTCUSD,LONG,46.18,44.73
9,2017-07-14 17:10:00,2017-07-15 05:50:00,LTCUSD,LONG,40.89,40.02
10,2017-07-15 13:10:00,2017-07-15 17:30:00,LTCUSD,LONG,39.23,40.22
11,2017-07-16 04:30:00,2017-07-18 10:05:00,LTCUSD,LONG,39.0,42.63
12,2017-07-18 13:45:00,2017-07-19 08:55:00,LTCUSD,LONG,43.07,43.12
13,2017-07-19 09:55:00,2017-07-19 17:25:00,LTCUSD,LONG,42.99,41.71
14,2017-07-20 11:55:00,2017-07-22 10:50:00,LTCUSD,LONG,42.78,46.14
15,2017-07-24 02:45:00,2017-07-24 07:25:00,LTCUSD,LONG,45.35,44.7
16,2017-07-24 10:25:00,2017-07-24 21:50:00,LTCUSD,LONG,45.11,45.3
17,2017-07-26 08:55:00,2017-07-26 10:55:00,LTCUSD,LONG,42.11,41.97
18,2017-07-26 20:40:00,2017-07-27 01:45:00,LTCUSD,LONG,41.8,42.22
19,2017-07-27 19:35:00,2017-07-28 04:55:00,LTCUSD,LONG,41.37,42.0
20,2017-07-28 21:25:00,2017-07-29 12:15:00,LTCUSD,LONG,40.59,38.95
21,2017-07-29 14:15:00,2017-07-29 15:55:00,LTCUSD,LONG,39.3,39.4
22,2017-07-29 18:00:00,2017-07-30 01:05:00,LTCUSD,LONG,40.2,41.64
23,2017-07-30 06:40:00,2017-07-30 09:30:00,LTCUSD,LONG,40.0,40.3
24,2017-07-30 20:20:00,2017-07-31 12:05:00,LTCUSD,LONG,40.96,39.25
25,2017-08-01 05:15:00,2017-08-01 06:00:00,LTCUSD,LONG,43.59,43.29
26,2017-08-02 03:55:00,2017-08-02 19:05:00,LTCUSD,LONG,42.84,42.12
27,2017-08-03 03:50:00,2017-08-03 04:15:00,LTCUSD,LONG,42.03,42.01
28,2017-08-03 05:15:00,2017-08-04 01:05:00,LTCUSD,LONG,41.9,42.6
29,2017-08-07 16:10:00,2017-08-07 17:35:00,LTCUSD,LONG,45.96,45.9
30,2017-08-07 21:50:00,2017-08-07 23:35:00,LTCUSD,LONG,45.87,45.89
31,2017-08-07 23:50:00,2017-08-08 02:25:00,LTCUSD,LONG,45.99,46.15
32,2017-08-08 04:55:00,2017-08-08 10:10:00,LTCUSD,LONG,46.14,45.99
33,2017-08-08 11:10:00,2017-08-08 14:40:00,LTCUSD,LONG,45.91,46.03
34,2017-08-08 17:05:00,2017-08-08 17:40:00,LTCUSD,LONG,46.21,46.25
35,2017-08-09 03:40:00,2017-08-09 04:25:00,LTCUSD,LONG,48.38,48.1
36,2017-08-09 04:50:00,2017-08-09 08:25:00,LTCUSD,LONG,48.04,49.18
37,2017-08-09 09:05:00,2017-08-09 09:15:00,LTCUSD,LONG,49.6,49.9
38,2017-08-09 19:15:00,2017-08-09 21:20:00,LTCUSD,LONG,47.78,48.1
39,2017-08-09 23:45:00,2017-08-09 23:55:00,LTCUSD,LONG,47.86,47.69
40,2017-08-10 00:00:00,2017-08-10 05:35:00,LTCUSD,LONG,47.71,47.6
41,2017-08-10 07:45:00,2017-08-10 07:55:00,LTCUSD,LONG,47.97,47.97
42,2017-08-10 09:45:00,2017-08-10 11:10:00,LTCUSD,LONG,48.1,47.97
43,2017-08-10 13:00:00,2017-08-10 15:45:00,LTCUSD,LONG,47.99,48.4
44,2017-08-10 17:30:00,2017-08-10 17:55:00,LTCUSD,LONG,47.93,48.0
45,2017-08-10 21:15:00,2017-08-10 23:30:00,LTCUSD,LONG,47.44,47.53
