,Entry Time,Exit Time,Symbol,Direction,Entry,Exit
0,2017-07-02 19:00:00,2017-07-03 23:00:00,LTCUSD,LONG,41.05,45.53
1,2017-07-27 17:00:00,2017-08-09 19:00:00,LTCUSD,LONG,41.23,47.72
2,2017-08-14 21:00:00,2017-08-15 16:00:00,LTCUSD,LONG,45.33,42.52
3,2017-08-17 03:00:00,2017-08-24 12:00:00,LTCUSD,LONG,43.99,51.6
4,2017-08-27 07:00:00,2017-08-27 09:00:00,LTCUSD,LONG,55.09,54.32
5,2017-09-04 03:00:00,2017-09-07 03:00:00,LTCUSD,LONG,78.3,78.32
6,2017-09-12 10:00:00,2017-09-19 23:00:00,LTCUSD,LONG,70.96,52.9
7,2017-09-24 19:00:00,2017-10-09 17:00:00,LTCUSD,LONG,47.7,50.51
8,2017-10-10 00:00:00,2017-10-18 17:00:00,LTCUSD,LONG,50.2,57.21
9,2017-10-19 17:00:00,2017-10-22 10:00:00,LTCUSD,LONG,59.8,56.63
10,2017-10-29 05:00:00,2017-10-29 23:00:00,LTCUSD,LONG,54.9,56.59
11,2017-11-02 16:00:00,2017-11-04 21:00:00,LTCUSD,LONG,52.81,55.04
12,2017-11-06 15:00:00,2017-11-06 22:00:00,LTCUSD,LONG,55.65,54.87
13,2017-11-13 23:00:00,2017-11-17 22:00:00,LTCUSD,LONG,61.24,68.04
14,2018-01-02 07:00:00,2018-01-04 18:00:00,LTCUSD,LONG,242.89,235.67
15,2018-01-07 20:00:00,2018-01-13 19:00:00,LTCUSD,LONG,273.76,245.7
16,2018-01-24 09:00:00,2018-02-07 13:00:00,LTCUSD,LONG,178.51,154.05
17,2018-02-14 05:00:00,2018-02-16 07:00:00,LTCUSD,LONG,180.5,229.28
18,2018-02-26 12:00:00,2018-03-05 12:00:00,LTCUSD,LONG,227.83,212.82
19,2018-03-05 13:00:00,2018-03-23 09:00:00,LTCUSD,LONG,213.41,159.09
20,2018-03-23 13:00:00,2018-03-30 08:00:00,LTCUSD,LONG,158.09,122.54
21,2018-04-12 02:00:00,2018-05-08 17:00:00,LTCUSD,LONG,116.99,158.4
