,Entry Time,Exit Time,Symbol,Direction,Entry,Exit
0,2017-07-16 15:08:00,2017-07-16 19:24:00,ETHUSD,LONG,150.97,152.9
1,2017-07-16 23:44:00,2017-07-17 10:48:00,ETHUSD,LONG,165.81,166.76
2,2017-07-18 07:40:00,2017-07-18 10:16:00,ETHUSD,LONG,191.1,187.99
3,2017-07-20 02:16:00,2017-07-22 10:12:00,ETHUSD,LONG,207.01,225.5
4,2017-07-23 22:48:00,2017-07-24 01:32:00,ETHUSD,LONG,228.63,229.75
5,2017-07-25 04:44:00,2017-07-28 00:16:00,ETHUSD,LONG,224.07,202.04
6,2017-08-04 13:00:00,2017-08-08 02:20:00,ETHUSD,LONG,222.3,270.4
7,2017-08-08 05:50:00,2017-08-08 13:40:00,ETHUSD,LONG,271.15,282.76
8,2017-08-08 21:10:00,2017-08-09 09:50:00,ETHUSD,LONG,298.4,290.15
9,2017-08-09 11:30:00,2017-08-10 07:50:00,ETHUSD,LONG,292.95,299.09
10,2017-08-10 17:30:00,2017-08-11 06:20:00,ETHUSD,LONG,306.72,302.44
11,2017-08-11 14:40:00,2017-08-11 19:10:00,ETHUSD,LONG,296.37,301.54
12,2017-08-12 05:16:00,2017-08-12 14:48:00,ETHUSD,LONG,316.0,316.88
13,2017-08-12 15:56:00,2017-08-12 21:08:00,ETHUSD,LONG,317.48,309.23
14,2017-08-13 00:20:00,2017-08-13 08:28:00,ETHUSD,LONG,308.55,294.0
15,2017-08-13 21:40:00,2017-08-14 14:36:00,ETHUSD,LONG,294.94,296.97
16,2017-08-14 17:12:00,2017-08-14 17:48:00,ETHUSD,LONG,298.52,296.43
17,2017-08-15 00:08:00,2017-08-15 04:04:00,ETHUSD,LONG,299.12,291.69
18,2017-08-15 07:52:00,2017-08-15 09:56:00,ETHUSD,LONG,293.24,290.45
19,2017-08-15 13:24:00,2017-08-15 13:52:00,ETHUSD,LONG,282.99,281.5
20,2017-08-15 16:08:00,2017-08-15 19:56:00,ETHUSD,LONG,279.0,283.82
21,2017-08-15 23:08:00,2017-08-16 02:52:00,ETHUSD,LONG,285.11,283.51
22,2017-08-16 07:28:00,2017-08-16 10:04:00,ETHUSD,LONG,285.98,287.99
23,2017-08-16 10:28:00,2017-08-16 11:00:00,ETHUSD,LONG,287.01,290.64
24,2017-08-16 11:40:00,2017-08-16 13:24:00,ETHUSD,LONG,296.01,295.95
